ID,NPL_score,SMILES_no_chiral,SMILES_chiral
CHEMBL418052,0.791,N=c1[nH]cnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,N=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O
CHEMBL591972,0.421,COc1ccc2c(c1)[nH]c1c(C)c(O)ccc12,COc1ccc2c(c1)[nH]c1c(C)c(O)ccc12
CHEMBL2336409,-0.881,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]c(=N)[nH]1,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]c(=N)[nH]1
CHEMBL1916669,-0.758,CN(C)CC1CC(c2ccc(N)cc2)=NO1,CN(C)CC1CC(c2ccc(N)cc2)=NO1
CHEMBL260027,-0.84,CCN(CC)CC1CN=C(c2ccc([N+](=O)[O-])cc2)O1,CCN(CC)C[C@@H]1CN=C(c2ccc([N+](=O)[O-])cc2)O1
CHEMBL318743,0.728,COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O,COc1cc(CCC(=O)CC(=O)CCc2ccc(O)c(OC)c2)ccc1O
CHEMBL2063061,0.665,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=NCc1ccccc1,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=NCc1ccccc1
CHEMBL113835,0.116,Cc1cc(Cc2cc(C)c(O)c(C(=O)O)c2)cc(C(=O)O)c1O,Cc1cc(Cc2cc(C)c(O)c(C(=O)O)c2)cc(C(=O)O)c1O
CHEMBL48396,-0.935,Nc1ccc(S(=O)(=O)c2ccc(NCC(=O)O)cc2)cc1,Nc1ccc(S(=O)(=O)c2ccc(NCC(=O)O)cc2)cc1
CHEMBL1916683,-0.536,CN1CC2ON=C(Cc3ccc([N+](=O)[O-])cc3)C2C1,CN1CC2ON=C(Cc3ccc([N+](=O)[O-])cc3)C2C1
CHEMBL3216341,-1.088,CC(=NN=C(N)N)c1ccc(NC(=O)c2ccc(N=c3cc[nH]c4ccc(N(C)C)cc34)cc2)cc1,CC(=NN=C(N)N)c1ccc(NC(=O)c2ccc(N=c3cc[nH]c4ccc(N(C)C)cc34)cc2)cc1
CHEMBL2385830,-0.814,C[n+]1ccc(Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccc(N)cc45)cc3)cc2)cc1,C[n+]1ccc(Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccc(N)cc45)cc3)cc2)cc1
CHEMBL3134250,-0.819,COc1ccc(Cl)cc1C(=O)N(C)CCc1ccc(CCC(=O)O)cc1,COc1ccc(Cl)cc1C(=O)N(C)CCc1ccc(CCC(=O)O)cc1
CHEMBL1916672,-0.974,CN(C)CC1CC(Cc2ccc([N+](=O)[O-])cc2)=NO1,CN(C)CC1CC(Cc2ccc([N+](=O)[O-])cc2)=NO1
CHEMBL1916518,-0.787,COc1ccc(C2=NOC(CN(C)C)C2)cc1,COc1ccc(C2=NOC(CN(C)C)C2)cc1
CHEMBL3109087,-0.25,O=C(O)C(Cc1c[nH]c2ccccc12)CN1C(=O)c2ccccc2C1=O,O=C(O)C(Cc1c[nH]c2ccccc12)CN1C(=O)c2ccccc2C1=O
CHEMBL3109075,-0.088,O=C(O)C1C(Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccc2ccccc2c1,O=C(O)C1[C@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccc2ccccc2c1
CHEMBL3109080,-0.919,O=C(O)C(Cc1csc2ccccc12)N1C(=O)c2ccccc2C1=O,O=C(O)C(Cc1csc2ccccc12)N1C(=O)c2ccccc2C1=O
CHEMBL3126645,-1.026,Cc1cc(=Nc2ccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)cc2)[nH]c(=N)[nH]1,Cc1cc(=Nc2ccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)cc2)[nH]c(=N)[nH]1
CHEMBL2385825,-0.948,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5c(F)c(F)c(F)cc45)cc3)cc2)[nH]c(=N)[nH]1,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5c(F)c(F)c(F)cc45)cc3)cc2)[nH]c(=N)[nH]1
CHEMBL2385833,-1.005,C[n+]1ccc(Nc2cccc(C(=O)Nc3ccc(N=c4cc[nH]c5ccccc45)cc3)c2)cc1,C[n+]1ccc(Nc2cccc(C(=O)Nc3ccc(N=c4cc[nH]c5ccccc45)cc3)c2)cc1
CHEMBL1361703,-1.531,COc1ccccc1CNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,COc1ccccc1CNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12
CHEMBL1322848,-2.155,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc4c(s3)CCC4)CC2)cc1,COc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc4c(s3)CCC4)CC2)cc1
CHEMBL1373655,-0.65,C=c1[nH]n(-c2cccc(C(=O)O)c2)c(=O)c1=CC=Cc1ccco1,C=c1[nH]n(-c2cccc(C(=O)O)c2)c(=O)/c1=C\C=C\c1ccco1
CHEMBL1529285,-1.225,O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1,O=C(O)c1ccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccccc2F)N3)cc1
CHEMBL1301673,-0.229,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CC=CC)C3)c1,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CC=CC)C3)c1
CHEMBL2047714,0.002,COc1cc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(SC)c(OC)c2)=NO)ccc1SC,COc1cc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(SC)c(OC)c2)=NO)ccc1SC
CHEMBL1818034,0.253,O=C(NCCSSCCNC(=O)C(Cc1cc(Br)c(O)c(Br)c1)=NO)C(Cc1cc(Br)c(O)c(Br)c1)=NO,O=C(NCCSSCCNC(=O)C(Cc1cc(Br)c(O)c(Br)c1)=NO)C(Cc1cc(Br)c(O)c(Br)c1)=NO
CHEMBL2047709,0.029,CSc1ccc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(SC)c(Br)c2)=NO)cc1Br,CSc1ccc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(SC)c(Br)c2)=NO)cc1Br
CHEMBL2047708,0.063,COc1ccc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(OC)c(I)c2)=NO)cc1I,COc1ccc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(OC)c(I)c2)=NO)cc1I
CHEMBL2047697,0.228,COc1cc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2cc(Br)c(OC)c(OC)c2)=NO)cc(Br)c1OC,COc1cc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2cc(Br)c(OC)c(OC)c2)=NO)cc(Br)c1OC
CHEMBL3605964,-0.752,CCOCC(C(=O)c1ccc(Cl)cc1)n1cnc2[nH]cnc(=N)c21,CCOCC(C(=O)c1ccc(Cl)cc1)n1cnc2[nH]cnc(=N)c21
CHEMBL1916668,-0.666,CN(C)CC1CC(c2ccc(C(=O)O)cc2)=NO1,CN(C)CC1CC(c2ccc(C(=O)O)cc2)=NO1
CHEMBL1916517,-1.296,CN(C)CC1CC(c2ccc([N+](=O)[O-])cc2)=NO1,CN(C)CC1CC(c2ccc([N+](=O)[O-])cc2)=NO1
CHEMBL3605935,-1.207,CCSCC(C(=O)c1ccc(Cl)cc1)n1cnc2ccccc21,CCSCC(C(=O)c1ccc(Cl)cc1)n1cnc2ccccc21
CHEMBL3818617,-1.663,CCN(C(=O)CO)C1CN(C(=NC#N)Nc2cccc(OC(F)F)c2)N=C1c1ccc(Cl)c(Cl)c1,CCN(C(=O)CO)C1CN(C(=NC#N)Nc2cccc(OC(F)F)c2)N=C1c1ccc(Cl)c(Cl)c1
CHEMBL276832,-1.22,NN=c1[nH]ncc2ccccc12,NN=c1[nH]ncc2ccccc12
CHEMBL569,-0.841,CCN(CC)CCOC(=O)c1ccc(N)cc1,CCN(CC)CCOC(=O)c1ccc(N)cc1
CHEMBL2047541,0.205,COc1ccc(CC(=NO)C(=O)NCCS)cc1Br,COc1ccc(CC(=NO)C(=O)NCCS)cc1Br
CHEMBL2047694,-0.026,CSc1ccc(CC(=NO)C(=O)NCCS)cc1Br,CSc1ccc(CC(=NO)C(=O)NCCS)cc1Br
CHEMBL2047698,0.292,COc1ccc(CC(=NO)C(=O)NCCS)cc1OC,COc1ccc(CC(=NO)C(=O)NCCS)cc1OC
CHEMBL2047699,-0.533,O=C(NCCS)C(Cc1cccc([N+](=O)[O-])c1)=NO,O=C(NCCS)C(Cc1cccc([N+](=O)[O-])c1)=NO
CHEMBL2047703,-0.174,CN(C)c1ccc(CC(=NO)C(=O)NCCS)cc1,CN(C)c1ccc(CC(=NO)C(=O)NCCS)cc1
CHEMBL1818036,0.264,O=C(NCCCCCCNC(=O)C(Cc1ccc(O)c(Br)c1)=NO)C(Cc1ccc(O)c(Br)c1)=NO,O=C(NCCCCCCNC(=O)C(Cc1ccc(O)c(Br)c1)=NO)C(Cc1ccc(O)c(Br)c1)=NO
CHEMBL2047713,-0.243,O=C(NCCSSCCNC(=O)C(Cc1cc(Br)cc([N+](=O)[O-])c1)=NO)C(Cc1cc(Br)cc([N+](=O)[O-])c1)=NO,O=C(NCCSSCCNC(=O)C(Cc1cc(Br)cc([N+](=O)[O-])c1)=NO)C(Cc1cc(Br)cc([N+](=O)[O-])c1)=NO
CHEMBL2047712,-0.255,O=C(NCCSSCCNC(=O)C(Cc1cccc([N+](=O)[O-])c1)=NO)C(Cc1cccc([N+](=O)[O-])c1)=NO,O=C(NCCSSCCNC(=O)C(Cc1cccc([N+](=O)[O-])c1)=NO)C(Cc1cccc([N+](=O)[O-])c1)=NO
CHEMBL1818029,0.289,O=C(NCCSSCCNC(=O)C(Cc1ccc(O)cc1)=NO)C(Cc1ccc(O)cc1)=NO,O=C(NCCSSCCNC(=O)C(Cc1ccc(O)cc1)=NO)C(Cc1ccc(O)cc1)=NO
CHEMBL2047673,-0.011,O=C(Cc1ccc(O)c(Br)c1)C(=O)NCCSSCCNC(=O)C(=O)Cc1ccc(O)c(Br)c1,O=C(Cc1ccc(O)c(Br)c1)C(=O)NCCSSCCNC(=O)C(=O)Cc1ccc(O)c(Br)c1
CHEMBL2047672,-0.698,COc1ccc(CC(=O)C(=O)NCCSC)cc1Br,COc1ccc(CC(=O)C(=O)NCCSC)cc1Br
CHEMBL3765719,-0.95,O=C(NCc1ccccc1)c1cccc(N2C(=O)N=C(Cc3ccc(O)cc3)C2=O)c1,O=C(NCc1ccccc1)c1cccc(N2C(=O)N=C(Cc3ccc(O)cc3)C2=O)c1
CHEMBL1818138,-0.086,O=C(CCc1ccc(O)c(Br)c1)NCCSSCCNC(=O)CCc1ccc(O)c(Br)c1,O=C(CCc1ccc(O)c(Br)c1)NCCSSCCNC(=O)CCc1ccc(O)c(Br)c1
CHEMBL455474,1.994,C=C(Cl)C(=CBr)CCC(Br)=C(C)C,C=C(Cl)/C(=C\Br)CCC(Br)=C(C)C
CHEMBL4203933,-0.349,CCc1ccc(-c2cc(=NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,CCc1ccc(-c2cc(=NC3CCC34CCN(C)CC4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1
CHEMBL1916682,-0.013,CN1CC2ON=C(Cc3ccccc3)C2C1,CN1CC2ON=C(Cc3ccccc3)C2C1
CHEMBL1340117,-0.31,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CCC)C3)c1,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C=CCC)C3)c1
CHEMBL1356373,-1.443,O=C(O)CCc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2N2CCCC2)cc1,O=C(O)CCc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2N2CCCC2)cc1
CHEMBL1983083,-1.731,O=C(COc1ccc(C=NNC(=O)c2ccc(O)cc2)cc1)Nc1ccc([N+](=O)[O-])cc1,O=C(COc1ccc(/C=N/NC(=O)c2ccc(O)cc2)cc1)Nc1ccc([N+](=O)[O-])cc1
CHEMBL1893341,-1.747,COC(=O)c1ccc(C(=O)OC)c(NC(=O)Cc2cccs2)c1,COC(=O)c1ccc(C(=O)OC)c(NC(=O)Cc2cccs2)c1
CHEMBL1373095,-2.007,O=C(Nc1cccc(S(=O)(=O)N=C2CCCN2)c1)c1cc(-c2ccco2)nc2ccccc12,O=C(Nc1cccc(S(=O)(=O)N=C2CCCN2)c1)c1cc(-c2ccco2)nc2ccccc12
CHEMBL4177036,-0.301,COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCOCC3)[nH]c2cc1OCCCN1CCCC1,COc1cc2c(=NC3CCN(C)CC3)cc(C3=CCOCC3)[nH]c2cc1OCCCN1CCCC1
CHEMBL4176464,-0.672,CCc1ccc(-c2cc(=NC3CCN(C4CC4)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,CCc1ccc(-c2cc(=NC3CCN(C4CC4)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1
CHEMBL4069653,-0.851,Nc1ccc(NCCN2CCC(COc3ccc4c(=NCCCc5ccccc5)[nH]cnc4c3)CC2)cc1,Nc1ccc(NCCN2CCC(COc3ccc4c(=NCCCc5ccccc5)[nH]cnc4c3)CC2)cc1
CHEMBL4096869,-0.669,Cc1cc(=NCCN2CCC(COc3ccc4c(=NCCCc5ccccc5)[nH]cnc4c3)CC2)c2ccccc2[nH]1,Cc1cc(=NCCN2CCC(COc3ccc4c(=NCCCc5ccccc5)[nH]cnc4c3)CC2)c2ccccc2[nH]1
CHEMBL4070162,-0.789,Fc1ccc2[nH]ccc(=NCCN3CCC(COc4ccc5c(=NCCCc6ccccc6)[nH]cnc5c4)CC3)c2c1,Fc1ccc2[nH]ccc(=NCCN3CCC(COc4ccc5c(=NCCCc6ccccc6)[nH]cnc5c4)CC3)c2c1
CHEMBL4062938,-0.653,c1ccc(CN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1,c1ccc(CN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1
CHEMBL4071562,-0.861,Clc1ccccc1CCN=c1[nH]cnc2cc(OCC3CCN(CCN=c4cc[nH]c5ccccc45)CC3)ccc12,Clc1ccccc1CCN=c1[nH]cnc2cc(OCC3CCN(CCN=c4cc[nH]c5ccccc45)CC3)ccc12
CHEMBL4071760,-0.834,c1ccc(CCCN=c2[nH]cnc3cc(OCC4CCN(CCNc5cncc6ccccc56)CC4)ccc23)cc1,c1ccc(CCCN=c2[nH]cnc3cc(OCC4CCN(CCNc5cncc6ccccc56)CC4)ccc23)cc1
CHEMBL4097823,-0.675,FC(F)(F)c1cc(=NCCN2CCC(COc3ccc4c(=NCCCc5ccccc5)[nH]cnc4c3)CC2)c2ccccc2[nH]1,FC(F)(F)c1cc(=NCCN2CCC(COc3ccc4c(=NCCCc5ccccc5)[nH]cnc4c3)CC2)c2ccccc2[nH]1
CHEMBL4084601,-0.62,c1ccc(CCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1,c1ccc(CCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1
CHEMBL4060851,-0.856,NS(=O)(=O)c1ccc(CCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1,NS(=O)(=O)c1ccc(CCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1
CHEMBL4099197,-0.609,c1ccc(-c2ccc(CN=c3[nH]cnc4cc(OCC5CCN(CCN=c6cc[nH]c7ccccc67)CC5)ccc34)cc2)cc1,c1ccc(-c2ccc(CN=c3[nH]cnc4cc(OCC5CCN(CCN=c6cc[nH]c7ccccc67)CC5)ccc34)cc2)cc1
CHEMBL4091463,-0.77,c1ccc2c(NCCN=c3[nH]cnc4cc(OCC5CCN(CCN=c6cc[nH]c7ccccc67)CC5)ccc34)cccc2c1,c1ccc2c(NCCN=c3[nH]cnc4cc(OCC5CCN(CCN=c6cc[nH]c7ccccc67)CC5)ccc34)cccc2c1
CHEMBL4100095,-0.767,c1ccc(NCCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1,c1ccc(NCCN=c2[nH]cnc3cc(OCC4CCN(CCN=c5cc[nH]c6ccccc56)CC4)ccc23)cc1
CHEMBL4070549,-0.57,c1ccc2c(CCCN=c3[nH]cnc4cc(OCC5CCN(CCN=c6cc[nH]c7ccccc67)CC5)ccc34)cccc2c1,c1ccc2c(CCCN=c3[nH]cnc4cc(OCC5CCN(CCN=c6cc[nH]c7ccccc67)CC5)ccc34)cccc2c1
CHEMBL3414630,-1.083,CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1,CCN(CC)CCNC(=O)c1ccc(NCCCCCCCCCCCCN2C(=O)c3ccccc3C2=O)cc1
CHEMBL3427569,-0.422,C#CCOc1ccc2[nH]cc(CC(C(=O)OC)N3C(=O)C=CC3=O)c2c1,C#CCOc1ccc2[nH]cc(CC(C(=O)OC)N3C(=O)C=CC3=O)c2c1
CHEMBL3126652,-0.837,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc(C)[nH]c(=N)[nH]4)cc3)cc2)[nH]c(=N)[nH]1,Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc(C)[nH]c(=N)[nH]4)cc3)cc2)[nH]c(=N)[nH]1
CHEMBL3126646,-0.96,Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1,Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1
CHEMBL1916680,-0.187,CN1CC2ON=C(c3ccc(N)cc3)C2C1,CN1CC2ON=C(c3ccc(N)cc3)C2C1
CHEMBL2063052,-0.417,O=c1[nH]ccc(=NCc2ccccc2)[nH]1,O=c1[nH]ccc(=NCc2ccccc2)[nH]1
CHEMBL2325183,-1.957,O=C(NCC(=O)c1ccccc1)Nc1ccc2nnsc2c1,O=C(NCC(=O)c1ccccc1)Nc1ccc2nnsc2c1
CHEMBL2047707,-0.065,CSc1ccc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(SC)cc2)=NO)cc1,CSc1ccc(CC(=NO)C(=O)NCCSSCCNC(=O)C(Cc2ccc(SC)cc2)=NO)cc1
CHEMBL2047693,-0.178,O=C(NCCSSCCNC(=O)C(Cc1ccc(F)c(Br)c1)=NO)C(Cc1ccc(F)c(Br)c1)=NO,O=C(NCCSSCCNC(=O)C(Cc1ccc(F)c(Br)c1)=NO)C(Cc1ccc(F)c(Br)c1)=NO
CHEMBL1916684,-0.013,COc1ccc(CC2=NOC3CN(C)CC23)cc1,COc1ccc(CC2=NOC3CN(C)CC23)cc1
CHEMBL1416694,-1.269,CC(C)(C)CC(=O)Nc1cccc2c1CCCC2,CC(C)(C)CC(=O)Nc1cccc2c1CCCC2
CHEMBL1981446,-1.649,O=C(NN=Cc1cn(Cc2cccc(F)c2)c2ccccc12)c1cc(O)cc(O)c1,O=C(N/N=C/c1cn(Cc2cccc(F)c2)c2ccccc12)c1cc(O)cc(O)c1
CHEMBL1433062,-0.844,COc1ccc(OC)c(-n2c(O)c3onc(-c4ccccc4Cl)c3c2O)c1,COc1ccc(OC)c(-n2c(O)c3onc(-c4ccccc4Cl)c3c2O)c1
CHEMBL1322547,1.401,CC=CC=CC(=O)C1C(=O)C2(C)C(=O)C(C)(O)C1C(C1(C)OC(=O)C(C)C1=O)C2C(=O)C=CC=CC,CC=CC=CC(=O)C1C(=O)[C@]2(C)C(=O)C(C)(O)[C@H]1[C@H]([C@]1(C)OC(=O)C(C)C1=O)C2C(=O)C=CC=CC
CHEMBL167773,-0.79,COc1ccc(Cl)cc1C(=O)NCCc1ccc(O)cc1,COc1ccc(Cl)cc1C(=O)NCCc1ccc(O)cc1
CHEMBL3134245,-0.902,COc1ccc(Cl)cc1C(=O)NCc1ccc(CCC(=O)O)cc1,COc1ccc(Cl)cc1C(=O)NCc1ccc(CCC(=O)O)cc1
CHEMBL3134243,-1.053,O=C(O)CCc1ccc(CCNC(=O)c2cc(C(F)(F)F)ccc2Cl)cc1,O=C(O)CCc1ccc(CCNC(=O)c2cc(C(F)(F)F)ccc2Cl)cc1
CHEMBL2063048,-0.941,O=C1N=C(NCc2ccco2)NCN1,O=C1N=C(NCc2ccco2)NCN1
CHEMBL2204997,-1.545,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc2c1cnn2C(C)C,CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C)CC3)nc2)cc2c1cnn2C(C)C
CHEMBL2047688,0.553,O=C(NCCS)C(Cc1ccc(O)cc1)=NO,O=C(NCCS)C(Cc1ccc(O)cc1)=NO
CHEMBL2047705,-0.034,O=C(NCCCSCCNC(=O)C(Cc1ccc(O)c(Br)c1)=NO)C(Cc1ccc(O)c(Br)c1)=NO,O=C(NCCCSCCNC(=O)C(Cc1ccc(O)c(Br)c1)=NO)C(Cc1ccc(O)c(Br)c1)=NO
CHEMBL262082,-0.865,CCN(CC)CC1COC(c2ccc([N+](=O)[O-])cc2)=N1,CCN(CC)C[C@H]1COC(c2ccc([N+](=O)[O-])cc2)=N1
CHEMBL1564869,-0.373,O=C(O)C(Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,O=C(O)C(Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O
CHEMBL179512,0.93,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2)ccc1O,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)cc2)ccc1O
CHEMBL4211688,-0.363,CCc1ccc(-c2cc(=NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,CCc1ccc(-c2cc(=NCC3C4CCC3CN(C)C4)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1
CHEMBL2385821,-1.005,Cc1cc(=Nc2cccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)c2)[nH]c(=N)[nH]1,Cc1cc(=Nc2cccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)c2)[nH]c(=N)[nH]1
CHEMBL3216134,-1.088,CC(=NN=C(N)N)c1ccc(C(=O)Nc2ccc(N=c3cc[nH]c4ccc(N(C)C)cc34)cc2)cc1,CC(=NN=C(N)N)c1ccc(C(=O)Nc2ccc(N=c3cc[nH]c4ccc(N(C)C)cc34)cc2)cc1
CHEMBL559715,0.741,NC(CCSCC1OC(n2cnc3c(=O)[nH]cnc32)C(O)C1O)C(=O)O,NC(CCSC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O)C(=O)O
CHEMBL552246,0.136,N=c1[nH]cnc2c1nnn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,N=c1[nH]cnc2c1nnn2[C@@H]1O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]1O
